org_id;org_name;legal_form;polactive_start_date;polactive_end_date;seat_location;zipcode;region_abb;country_abb;longitude;latitude;ig_type;policy_area;address_raw;GAVA_assoc_id;GAVA_assoc_name;GAVA_assoc_aggregate_name;GAVA_assoc_legal_form;GAVA_assoc_general;GAVA_assoc_ig_type;GAVA_assoc_ig_type_name;GAVA_assoc_ig_code;GAVA_assoc_ig_code_name;GAVA_level;GAVA_category;GAVA_topic;GAVA_topic_business;NCCR_nqid;NCCR_A4 Organisation;GK_interest_group;GK_canton_ig_raw;GK_type;GK_policy_code
CH_mNkv5qfZIvM/;Schweizerischer Verband für Wohnbau- und Eigentumsförderung, Luzern;Gen.;2005;2010;Luzern;6000;LU;CH;8,325215362;47,04713582;;;;4809;Schweizerischer Verband für Wohnbau- und Eigentumsförderung;Wohnen Schweiz;13;Societe;20;Business groups;26;Private firm/company;98;NA;14;NA;NA;NA;Schweizerischer Verband für Wohnbau- und Eigentumsförderung ;LU;ngo;14
CH_YhW+BUK8Y1HD;Stiftung Natur und Wirtschaft, Luzern;Stift.;2007;2015;Luzern;6000;LU;CH;8,325215362;47,04713582;;;;5412;Stiftung Natur & Wirtschaft Basel;Stiftung Natur & Wirtschaft Basel;20;Fondation;80;Public interest groups;81;Environment and animal welfare;3;National;7;NA;NA;NA;Stiftung Natur und Wirtschaft ;LU;ngo;7
CH_5U4MyjJFMv+3;Verband Schweizerischer Schreinermeister und Möbelfabrikanten (VSSM), Zürich;Ve.;2005;2015;Zürich;8000;ZH;CH;8,475219;47,360508;;;;6016;Verband Schweizerischer Schreinermeister und Möbelfabrikanten (VSSM) Zürich;Verband Schweizerischer Schreinermeister und Möbelfabrikanten (VSSM) Zürich;30;Association;20;Business groups;22;Sector-wide business groups;2;Regional/Cantonal;15;1563;NA;NA;Verband Schweizer Schreinermeister und Möbelfabrikanten ;ZH;prof;1
CH_LK1EbrgycutN;Verein Entlebucher Holzform, Schüpfheim;Ve.;2002;2011;Schüpfheim;6170;LU;CH;8,011499602;46,94706788;;;;1639;Entlebucher Holzform;Entlebucher Holzform;30;Association;20;Business groups;22;Sector-wide business groups;2;Regional/Cantonal;15;1563;NA;NA;Entlebucher Holzforum ;LU;ngo;4
CH_3pCLJYN0Sg8J;Zentrale Paritätische Kommission Schreinergewerbe;Ve.;2015;2015;Zürich;8000;ZH;CH;8,475219;47,360508;OT;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CH_xTowsf6MWcHO;Zentralstelle für das gewerbliche Bürgschaftswesen der Schweiz (GBZ), St. Gallen;Gen.;2000;2015;St. Gallen;9001;SG;CH;9,37605;47,426479;;;;6372;Zentralstelle für das gewerbliche Bürgschaftswesen (GBZ) St.Gallen;Zentralstelle für das gewerbliche Bürgschaftswesen (GBZ) St.Gallen;13;Societe;20;Business groups;26;Private firm/company;98;NA;15;1501;NA;NA;Zentralstelle für das gewerbliche Bürgschaftswesen;NA;public;15
CH_dP33PrWzpR+i;Fondation Au Coeur des Grotttes, Genève;Stift.;2008;2015;Genève;1200;GE;CH;6,14139354;46,20577413;;;;560;Au coeur des Grottes Genève;Au coeur des Grottes Genève;20;Fondation;80;Public interest groups;83;Humanitarian - national;2;Regional/Cantonal;13;98;NA;NA;Au coeur des Grottes ;GE;ngo;13
CH_6hmrO4mmB6Ux;Fondation genevoise pour le dépistage du cancer du sein, Genève;Stift.;2014;2015;Genève;1200;GE;CH;6,14139354;46,20577413;80;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CH_QOLzPdO1AU41;Ecole d'ingégnieurs de Changins, Nyon;Stift.;2011;2013;Nyon;1260;VD;CH;6,226237398;46,38635168;SI;;;1454;Ecole d'ingégnieurs de Changin;Ecole d'ingégnieurs de Changin;20;Fondation;40;Occupational associations;45;Universities (Researchers, Academics);2;Regional/Cantonal;4;98;NA;NA;NA;NA;NA;NA
CH_qFPdbKbzSxgz;Fondation Changin, Nyon;Stift.;2016;2017;Nyon;1260;VD;CH;6,226237398;46,38635168;80;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CH_/2BFd3UGf4dz;Fondation Suisse pour la Recherche en Microtechnique (FSRM), Neuchâtel;Stift.;2011;2017;Neuchâtel;2000;NE;CH;6,93809901;47,00942042;80;;;2172;FSRM Fondation suisse pour la recherche en microtechnique;FSRM Fondation suisse pour la recherche en microtechnique;20;Fondation;40;Occupational associations;45;Universities (Researchers, Academics);3;National;15;1566;NA;NA;NA;NA;NA;NA
CH_ZykPLHFHDGjv;Oeuvre suisse d'entraide ouvrière (OSEO) - Neuchâtel;Ve.;2017;2017;Neuchâtel;2000;NE;CH;6,93809901;47,00942042;;;;3693;Oeuvre suisse d'entraide ouvrière OSEO-Valais Sion;OSEO;30;Association;80;Public interest groups;83;Humanitarian - national;2;Regional/Cantonal;5;98;NA;NA;Oeuvre suisse d'entraide ouvrière ;VS;ngo;33
CH_dfMdtMo9fVpD;Abt. für Kulturtechnik und Vermessung, ETH Zürich;NA;1995;1995;Zürich;8000;ZH;CH;8,475219;47,360508;SI;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CH_NX6u/NEb/cvD;AGR BUWAL Tourismus + Moorschutz;EidgKomm;1995;1995;Bern;3000;BE;CH;7,406455946;46,94761344;30;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CH_2sf6RQAZUuT2;Association suisse pour le service aux régions et communes (SEREC) / Schweizerische Beratungsgruppe für Regionen und Gemeinden (BEREG);Ve.;1995;1995;Vissoie;3961;VS;CH;7,58253596;46,22216396;30;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CH_bMiLa+ZqujuR;Benediktinerabtei Disentis, Disentis;Stift.;2001;2011;Disentis;7180;GR;CH;8,85141;46,70362;80;;;752;Benediktinerabtei Disentis;Benediktinerabtei Disentis;20;Fondation;70;Religious groups;71;Churches;1;Local;2;98;NA;NA;NA;NA;NA;NA
CH_ZrjMxpYzVSTv;Bündner Oberländer Bauernverein (BOBV);Ve.;1995;1995;Ilanz;7130;GR;CH;9,192854651;46,77067127;40;;;945;Bündner Bauernverband;Union suisse des paysans;30;Association;20;Business groups;22;Sector-wide business groups;2;Regional/Cantonal;4;98;NA;NA;Bündner Bauernverband;GR;prof;4
CH_dslocc/OtQMA;Bündner Schwesternschule / Pflegerinnenschule Ilanz / Krankenpflegeschule Ilanz / Bündner Fachschule für Pflege Ilanz;NA;1995;1995;Ilanz;7130;GR;CH;9,192854651;46,77067127;SI;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CH_ZKUSlb1N3JV6;CONVIA, Lebensversicherungsgesellschaft, Luzern;AG;2007;2007;Luzern;6000;LU;CH;8,325215362;47,04713582;;;;1254;CONVIA Lebensversicherungsgesellschaft Luzern;CONVIA Lebensversicherungsgesellschaft Luzern;11;Societe;20;Business groups;26;Private firm/company;98;NA;15;1505;NA;NA;NA;NA;NA;NA
CH_53sYgEOkZfNW;Eidg. Forschungsanstalt für Agrarwirtschaft und Landtechnik (FAT), Tänikon;Anst.;1998;2007;Tänikon;8356;TG;CH;8,905244;47,48056;;;;727;Begleitende Expertengruppe der Eidg. Forschungsanstalt für Agrarwirtschaft und Landtechnik (FAT);Begleitende Expertengruppe der Eidg. Forschungsanstalt für Agrarwirtschaft und Landtechnik (FAT);50;Droit public;30;Institutional associations;34;Other institutional associations, incl. State and Federal agencies;3;National;4;NA;NA;NA;NA;NA;NA;NA
CH_+Fys25pl5kMJ;Handelsschule Surselva, (Kaufm. Berufsschule und Handelsmittelschule);Anst.;1995;1995;Ilanz;7130;GR;CH;9,192854651;46,77067127;SI;;;2501;Handelsmittelschule Surselva;Handelsmittelschule Surselva;30;Association;40;Occupational associations;46;Educational: Community College and below;2;Regional/Cantonal;6;98;NA;NA;Handelsmittelschule Surselva;GR;public;6
CH_Z/ljCgx7aYHI;Interstaatliche Hochschule Buchs (Konkordat) / Neutechnikum Buchs, Buchs;Anst.;2003;2011;Buchs (SG);9469;SG;CH;9,489725;47,20979;SI;;;2656;Hochschulrat der interstaatlichen Hochschule Buchs;Hochschulrat der interstaatlichen Hochschule Buchs;50;Droit public;40;Occupational associations;45;Universities (Researchers, Academics);2;Regional/Cantonal;17;98;NA;NA;NA;NA;NA;NA
CH_FIN7qkhEvhRy;Kant, beratende Komm. für Wirtschaftsfragen;Komm.;1995;1995;NA;NA;NA;CH;NA;NA;OT;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Komm. für regionale Wirtschaftsförderung;BE;public;24
CH_kDrs13ztvkRO;Kant. Verkehrskommission;Komm.;1995;1995;NA;NA;NA;CH;NA;NA;OT;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CH_e1vqt462kFJj;Kantonale Projektkomm. Alp Transit Gotthardbasistunnel;Komm.;1995;1999;NA;NA;NA;CH;NA;NA;30;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CH_TTQ9g0LuIz0H;Kantonalverband der Organisationen für häusliche Pflege und Betreuung in Graubünden (HPB-GR);Ve.;1995;1995;Chur;7000;GR;CH;9,530139939;46,85211073;21;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CH_GZbqDK0nJQqM;Kraftwerke Frisai AG, Waltensburg;AG;1996;2001;Waltensburg/Vuorz;7158;GR;CH;9,09061;46,801372;27;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Kraftwerke Frisal AG;GR;comp;8
CH_MyM9pEQAVXWl;Kraftwerke Ilanz AG;AG;1991;2010;Ilanz;7130;GR;CH;9,192854651;46,77067127;;;;3227;KWI Kraftwerk Ilanz AG Ilanz;KWI Kraftwerk Ilanz AG Ilanz;11;Societe;20;Business groups;26;Private firm/company;98;NA;8;98;NA;NA;Kraftwerk Ilanz AG, Ilanz;GR;comp;8
CH_Mbc7sNikoNso;Landwirtschaftsschule LBBZ Plantahof, Landquart;Anst.;1995;2000;Landquart;7302;GR;CH;9,642497557;46,949097;SI;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CH_/CmBNRV41avu;Landwirtschaftsschule LBBZ Plantahof, Landquart (Bildungs- und Beratungskommission);Anst.;2001;2011;Landquart;7302;GR;CH;9,642497557;46,949097;SI;;;855;Bildungs- und Beratungskommission LBBZ Plantahof;LBBZ Plantahof;40;Commission;40;Occupational associations;46;Educational: Community College and below;2;Regional/Cantonal;4;98;NA;NA;NA;NA;NA;NA
CH_NOHEYnduzeKT;Meliorationskomm, der Gemeinde Tenna;Komm.;1995;1999;Tenna;7106;GR;CH;9,332006;46,747814;80;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CH_JJGOxQ48kvDD;Meliorationskommissionen St. Peter/Peist, Schlans, Sumvitg, Valendas Heimgebiet;Komm.;2008;2011;Sumvitg;7175;GR;CH;8,943889;46,706246;80;;;3453;Meliorationskommissionen St. Peter/Peist Schlans Sumvitg Valendas Heimgebiet;Meliorationskommissionen St. Peter/Peist Schlans Sumvitg Valendas Heimgebiet;40;Commission;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CH_FpJ31HDbPhjM;Planungskomm. Psychiatrische Klinik Beverin;Anst.;1995;1995;Cazis;7408;GR;CH;9,427083602;46,73714966;27;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CH_uDlFuTXhgRQJ;Pro Val Lumnezia;Ve.;1995;1995;Lumnezia;7148;GR;CH;9,107238;46,66889;80;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CH_0sQTsX7Q40db;Projektleitung für die kant. Abfallplanung;Komm.;1995;1995;NA;NA;NA;CH;NA;NA;30;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CH_S6rbwK/AUj75;Schweizerische MIVA, Missionswerk, Wil;Ve.;2004;2011;Wil (SG);9500;SG;CH;9,043992;47,459015;80;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;690;Schweizerische MIVA, Missionswerk;MIVA, Missionswerk, Wil ;SG;comp;19
CH_A5m+YOoYglf1;Stiftung Sanitas Davos;Stift.;2008;2011;Davos;7260;GR;CH;9,843882073;46,833739;;;;5452;Stiftung Sanitas Davos;Stiftung Sanitas Davos;20;Fondation;80;Public interest groups;85;Other public interest group;2;Regional/Cantonal;3;98;NA;NA;Sanitas;ZH;comp;15
