comm_id;parliament_id;comm_name;comm_maintype;comm_subtype;comm_maintype_abb;comm_subtype_abb;seats;comm_start;comm_end
CH_NT-NR_1987__CO|WFK;CH_NT-NR_1987;Kommission für Wissenschaft und Forschung (WFK) ;CO;NA;WFK;NA;23;30nov1987;16sep1991
CH_NT-NR_1987__CO|WK;CH_NT-NR_1987;Wirtschaftskommission (WK) ;CO;NA;WK;NA;23;30nov1987;16sep1991
CH_NT-NR_1991__CH_NT-SR_1991__CO|BeK;"CH_NT-NR_1991;CH_NT-SR_1991";Begnadigungskommission (BeK) ;CO;NA;BeK;NA;13;25nov1991;18sep1995
CH_NT-NR_1991__CH_NT-SR_1991__CO|IAgVR;"CH_NT-NR_1991;CH_NT-SR_1991";Interfraktionelle Arbeitsgruppe für die Vorbereitung der Richterwahlen ;CO;NA;IAgVR;NA;6;25nov1991;18sep1995
CH_NT-NR_1991__CH_NT-SR_1991__CO|RedK--SC|D;"CH_NT-NR_1991;CH_NT-SR_1991";Redaktionskommission für die deutsche Sprache ;CO;SC;RedK;D;4;25nov1991;18sep1995
CH_NT-NR_1991__CH_NT-SR_1991__CO|RedK--SC|F;"CH_NT-NR_1991;CH_NT-SR_1991";Redaktionskommission für die französische Sprache ;CO;SC;RedK;F;4;25nov1991;18sep1995
CH_NT-NR_1991__CH_NT-SR_1991__CO|RedK--SC|I;"CH_NT-NR_1991;CH_NT-SR_1991";Redaktionskommission für die italienische Sprache ;CO;SC;RedK;I;4;25nov1991;18sep1995
CH_NT-NR_1991__CH_NT-SR_1991__CO|VwK;"CH_NT-NR_1991;CH_NT-SR_1991";Verwaltungskommission ;CO;NA;VwK;NA;6;25nov1991;24aug1992
CH_NT-NR_1991__CH_NT-SR_1991__DL|APF;"CH_NT-NR_1991;CH_NT-SR_1991";Schweizerische Gruppe der Internationalen Versammlung der Parlamentarier französischer Sprache ;DL;NA;APF;NA;5;25nov1991;18sep1995
CH_NT-NR_1991__CH_NT-SR_1991__DL|EFTA/EU;"CH_NT-NR_1991;CH_NT-SR_1991";Delegation EFTA/Europäisches Parlament ;DL;NA;EFTA/EU;NA;15;25nov1991;18sep1995
CH_NT-NR_1991__CH_NT-SR_1991__DL|EFTA/EU--SD|EFTA;"CH_NT-NR_1991;CH_NT-SR_1991";Delegation bei der EFTA ;DL;SD;EFTA/EU;EFTA;6;25nov1991;18sep1995
CH_NT-NR_1991__CH_NT-SR_1991__DL|EFTA/EU--SD|EU;"CH_NT-NR_1991;CH_NT-SR_1991";Delegation beim Europäischen Parlament ;DL;SD;EFTA/EU;EU;9;25nov1991;18sep1995
CH_NT-NR_1991__CH_NT-SR_1991__DL|ERD;"CH_NT-NR_1991;CH_NT-SR_1991";Delegation beim Europarat (ERD) ;DL;NA;ERD;NA;6;25nov1991;18sep1995
CH_NT-NR_1991__CH_NT-SR_1991__DL|FinDel;"CH_NT-NR_1991;CH_NT-SR_1991";Finanzdelegation (FinDel) ;DL;NA;FinDel;NA;6;25nov1991;18sep1995
CH_NT-NR_1991__CH_NT-SR_1991__DL|GPDel;"CH_NT-NR_1991;CH_NT-SR_1991";Geschäftsprüfungsdelegation ;DL;NA;GPDel;NA;6;26apr1993;18sep1995
