parliament_id;leg_period_start;leg_period_end;level;country_abb;region_abb;leg_period;assembly_name;assembly_abb;coalition_parties;previous_parliament;next_parliament
CH_NT-NR_1911;04dec1911;06dec1914;NT;CH;NA;22;Nationalrat;NR;;NA;CH_NT-NR_1914
CH_NT-NR_1914;07dec1914;02dec1917;NT;CH;NA;23;Nationalrat;NR;;CH_NT-NR_1911;CH_NT-NR_1917
CH_NT-NR_1917;03dec1917;30nov1919;NT;CH;NA;24;Nationalrat;NR;;CH_NT-NR_1914;CH_NT-NR_1919
CH_NT-NR_1919;01dec1919;03dec1922;NT;CH;NA;25;Nationalrat;NR;;CH_NT-NR_1917;CH_NT-NR_1922
CH_NT-NR_1922;04dec1922;06dec1925;NT;CH;NA;26;Nationalrat;NR;;CH_NT-NR_1919;CH_NT-NR_1925
CH_NT-NR_1925;07dec1925;02dec1928;NT;CH;NA;27;Nationalrat;NR;;CH_NT-NR_1922;CH_NT-NR_1928
CH_NT-NR_1928;03dec1928;06dec1931;NT;CH;NA;28;Nationalrat;NR;;CH_NT-NR_1925;CH_NT-NR_1931
CH_NT-NR_1931;07dec1931;01dec1935;NT;CH;NA;29;Nationalrat;NR;;CH_NT-NR_1928;CH_NT-NR_1935
CH_NT-NR_1935;02dec1935;03dec1939;NT;CH;NA;30;Nationalrat;NR;;CH_NT-NR_1931;CH_NT-NR_1939
CH_NT-NR_1939;04dec1939;05dec1943;NT;CH;NA;31;Nationalrat;NR;;CH_NT-NR_1935;CH_NT-NR_1943
CH_NT-NR_1943;06dec1943;30nov1947;NT;CH;NA;32;Nationalrat;NR;;CH_NT-NR_1939;CH_NT-NR_1947
CH_NT-NR_1947;01dec1947;02dec1951;NT;CH;NA;33;Nationalrat;NR;;CH_NT-NR_1943;CH_NT-NR_1951
CH_NT-NR_1951;03dec1951;04dec1955;NT;CH;NA;34;Nationalrat;NR;;CH_NT-NR_1947;CH_NT-NR_1955
CH_NT-NR_1955;05dec1955;06dec1959;NT;CH;NA;35;Nationalrat;NR;;CH_NT-NR_1951;CH_NT-NR_1959
CH_NT-NR_1959;07dec1959;01dec1963;NT;CH;NA;36;Nationalrat;NR;;CH_NT-NR_1955;CH_NT-NR_1963
CH_NT-NR_1963;02dec1963;03dec1967;NT;CH;NA;37;Nationalrat;NR;;CH_NT-NR_1959;CH_NT-NR_1967
CH_NT-NR_1967;04dec1967;28nov1971;NT;CH;NA;38;Nationalrat;NR;;CH_NT-NR_1963;CH_NT-NR_1971
CH_NT-NR_1971;29nov1971;30nov1975;NT;CH;NA;39;Nationalrat;NR;;CH_NT-NR_1967;CH_NT-NR_1975
CH_NT-NR_1975;01dec1975;25nov1979;NT;CH;NA;40;Nationalrat;NR;;CH_NT-NR_1971;CH_NT-NR_1979
CH_NT-NR_1979;26nov1979;27nov1983;NT;CH;NA;41;Nationalrat;NR;;CH_NT-NR_1975;CH_NT-NR_1983
CH_NT-NR_1983;28nov1983;29nov1987;NT;CH;NA;42;Nationalrat;NR;;CH_NT-NR_1979;CH_NT-NR_1987
CH_NT-NR_1987;30nov1987;24nov1991;NT;CH;NA;43;Nationalrat;NR;;CH_NT-NR_1983;CH_NT-NR_1991
CH_NT-NR_1991;25nov1991;03dec1995;NT;CH;NA;44;Nationalrat;NR;;CH_NT-NR_1987;CH_NT-NR_1995
CH_NT-NR_1995;04dec1995;05dec1999;NT;CH;NA;45;Nationalrat;NR;;CH_NT-NR_1991;CH_NT-NR_1999
