parliament_id;leg_period_start;leg_period_end;level;country_abb;region_abb;leg_period;assembly_name;assembly_abb;coalition_parties;previous_parliament;next_parliament
DE_RE-BW_1968;01jun1968;31may1972;RE;DE;BW;5;Landtag;LT;;DE_RE-BW_1964;DE_RE-BW_1972
DE_RE-BW_1972;01jun1972;31may1976;RE;DE;BW;6;Landtag;LT;;DE_RE-BW_1968;DE_RE-BW_1976
DE_RE-BW_1976;01jun1976;31may1980;RE;DE;BW;7;Landtag;LT;;DE_RE-BW_1972;DE_RE-BW_1980
DE_RE-BW_1980;01jun1980;31may1984;RE;DE;BW;8;Landtag;LT;;DE_RE-BW_1976;DE_RE-BW_1984
DE_RE-BW_1984;01jun1984;31may1988;RE;DE;BW;9;Landtag;LT;;DE_RE-BW_1980;DE_RE-BW_1988
DE_RE-BW_1988;01jun1988;31may1992;RE;DE;BW;10;Landtag;LT;;DE_RE-BW_1984;DE_RE-BW_1992
DE_RE-BW_1992;01jun1992;31may1996;RE;DE;BW;11;Landtag;LT;;DE_RE-BW_1988;DE_RE-BW_1996
DE_RE-BW_1996;01jun1996;31may2001;RE;DE;BW;12;Landtag;LT;;DE_RE-BW_1992;DE_RE-BW_2001
DE_RE-BW_2001;01jun2001;31may2006;RE;DE;BW;13;Landtag;LT;;DE_RE-BW_1996;DE_RE-BW_2006
DE_RE-BW_2006;01jun2006;30apr2011;RE;DE;BW;14;Landtag;LT;;DE_RE-BW_2001;DE_RE-BW_2011
DE_RE-BW_2011;01may2011;30apr2016;RE;DE;BW;15;Landtag;LT;;DE_RE-BW_2006;DE_RE-BW_2016
DE_RE-BW_2016;01may2016;30apr2021;RE;DE;BW;16;Landtag;LT;;DE_RE-BW_2011;NC
DE_RE-BY_1946;01dec1946;25nov1950;RE;DE;BY;1;Landtag;LT;;NA;DE_RE-BY_1950
DE_RE-BY_1950;26nov1950;27nov1954;RE;DE;BY;2;Landtag;LT;;DE_RE-BY_1946;DE_RE-BY_1954
DE_RE-BY_1954;28nov1954;22nov1958;RE;DE;BY;3;Landtag;LT;;DE_RE-BY_1950;DE_RE-BY_1958
DE_RE-BY_1958;23nov1958;24nov1962;RE;DE;BY;4;Landtag;LT;;DE_RE-BY_1954;DE_RE-BY_1962
DE_RE-BY_1962;25nov1962;25nov1966;RE;DE;BY;5;Landtag;LT;;DE_RE-BY_1958;DE_RE-BY_1966
DE_RE-BY_1966;26nov1966;21nov1970;RE;DE;BY;6;Landtag;LT;;DE_RE-BY_1962;DE_RE-BY_1970
DE_RE-BY_1970;22nov1970;29oct1974;RE;DE;BY;7;Landtag;LT;;DE_RE-BY_1966;DE_RE-BY_1974
DE_RE-BY_1974;27oct1974;14oct1978;RE;DE;BY;8;Landtag;LT;;DE_RE-BY_1970;DE_RE-BY_1978
DE_RE-BY_1978;15oct1978;09oct1982;RE;DE;BY;9;Landtag;LT;;DE_RE-BY_1974;DE_RE-BY_1982
